lemma	pos	corpus_frequency	spoken_frequency	written_frequency	literature	meb	saha	tubitak	video	class	subclass	num_docs	mps	cd	pmw	zipf	length	sc
a	INTJ	9229	1978	7251	1620	4890	15	741	1963	Emotions & Mental Processes	emotions	1035	16	0.3356031128	1121.738462	6.049938666	1	1
a	NOUN	3990	172	3818	1262	1400	1	1156	171	Emotions & Mental Processes	emotions	412	62	0.1335927367	484.9644019	5.685818693	1	1
aa	INTJ	1638	1332	306	112	45	3	149	1329	Emotions & Mental Processes	emotions	566	4	0.1835278859	199.0906492	5.299315919	2	2
aaa	INTJ	1003	605	398	283	16	1	99	604	Emotions & Mental Processes	emotions	485	9	0.1572632944	121.9095978	5.086470678	3	3
aaah	INTJ	5	3	2	2	0	0	0	3	Emotions & Mental Processes	emotions	5	2	0.001621271077	0.6077248144	2.862888216	4	3
aah	INTJ	1	1	0	0	0	0	0	1	Emotions & Mental Processes	emotions	1	1	0.0003242542153	0.1215449629	2.385766961	3	2
ab	NOUN	225	76	149	71	39	1	39	75	Food & Nutrition	beverages	123	31	0.03988326848	27.34761665	4.438845404	2	1
aba	NOUN	57	10	47	35	5	0	7	10	Personal Care & Consumer Life	clothing	33	15	0.01070038911	6.928062884	3.848164959	3	2
abajur	NOUN	22	4	18	4	14	0	0	4	Personal Care & Consumer Life	accessories	11	5	0.003566796368	2.673989183	3.446464801	6	3
abaka	NOUN	1	0	1	0	0	0	1	0	History, Politics & Religion	historical figures	1	1	0.0003242542153	0.1215449629	2.385766961	5	3
abaküs	NOUN	40	5	35	3	27	0	5	5	Other	other	15	13	0.00486381323	4.861798515	3.697520822	6	3
abamak	VERB	2	1	1	1	0	0	0	1	Other	other	2	2	0.0006485084306	0.2430899258	2.56185822	6	3
Abana	PROPN	2	0	2	2	0	0	0	0	Other	other	1	1	0.0003242542153	0.2430899258	2.56185822	5	3
abanmak	VERB	7	2	5	4	0	0	1	2	Other	other	6	7	0.001945525292	0.8508147402	2.987826952	7	3
abanoz	NOUN	2	0	2	2	0	0	0	0	Nature & Living Things	plants	1	1	0.0003242542153	0.2430899258	2.56185822	6	3
abartmak	VERB	421	257	164	159	3	1	2	256	Other	other	271	80	0.08787289235	51.17042937	4.710049416	8	3
abartı	NOUN	21	17	4	4	0	0	0	17	Personality, Values & Behavior	behavior	21	5	0.006809338521	2.552444221	3.427159646	6	3
abartılı	ADJ	46	19	27	24	3	0	0	19	Personality, Values & Behavior	behavior	40	2	0.01297016861	5.591068293	3.756834823	8	4
abat	ADJ	2	2	0	0	0	0	0	2	Personality, Values & Behavior	behavior	2	1	0.0006485084306	0.2430899258	2.56185822	4	2
Abbas	PROPN	28	2	26	18	6	0	2	2	Other	other	21	6	0.006809338521	3.403258961	3.547134963	5	2
abdal	NOUN	17	0	17	15	0	0	2	0	Emotions & Mental Processes	intelligence and reasoning	6	4	0.001945525292	2.066264369	3.34000947	5	2
abdest	NOUN	159	10	149	96	53	1	0	9	History, Politics & Religion	religion	39	16	0.0126459144	19.3256491	4.288856948	6	2
abdestli	ADJ	2	0	2	0	2	0	0	0	History, Politics & Religion	religion	1	1	0.0003242542153	0.2430899258	2.56185822	8	3
abdestsiz	ADJ	1	0	1	1	0	0	0	0	History, Politics & Religion	religion	1	1	0.0003242542153	0.1215449629	2.385766961	9	3
Abdi	PROPN	2	1	1	1	0	0	0	1	Other	other	2	1	0.0006485084306	0.2430899258	2.56185822	4	2
Abdulaziz	PROPN	1	0	1	0	0	0	1	0	Other	other	1	1	0.0003242542153	0.1215449629	2.385766961	9	4
Abdulsamet	PROPN	2	0	2	0	0	0	2	0	Other	other	2	1	0.0006485084306	0.2430899258	2.56185822	10	4
Abdurrahim	PROPN	2	0	2	1	0	0	1	0	Other	other	2	2	0.0006485084306	0.2430899258	2.56185822	10	4
Abdurrahman	PROPN	125	0	125	116	2	0	7	0	Other	other	11	3	0.003566796368	15.19312036	4.18510751	11	4
Abdülkadir	PROPN	2	0	2	0	1	0	1	0	Other	other	2	1	0.0006485084306	0.2430899258	2.56185822	10	4
Abdülsamet	PROPN	1	0	1	0	0	0	1	0	Other	other	1	1	0.0003242542153	0.1215449629	2.385766961	10	4
abe	INTJ	10	3	7	6	1	0	0	3	Other	other	8	5	0.002594033722	1.215449629	3.126129651	3	2
abece	NOUN	5	0	5	0	5	0	0	0	Education & Language	grammar	2	2	0.0006485084306	0.6077248144	2.862888216	5	3
abes	ADJ	1	0	1	1	0	0	0	0	Personality, Values & Behavior	morality	1	1	0.0003242542153	0.1215449629	2.385766961	4	2
abi	NOUN	9851	8246	1605	1450	72	115	83	8131	People & Relationships	family	892	117	0.2892347601	1197.339429	6.078261369	3	2
abid	NOUN	5	3	2	2	0	0	0	3	History, Politics & Religion	historical artifacts	4	3	0.001297016861	0.6077248144	2.862888216	4	2
abide	NOUN	31	15	16	6	8	0	2	15	Other	other	25	9	0.008106355383	3.767893849	3.589886944	5	3
abisel	ADJ	1	0	1	1	0	0	0	0	Other	other	1	1	0.0003242542153	0.1215449629	2.385766961	6	3
abiye	NOUN	6	6	0	0	0	0	0	6	Personal Care & Consumer Life	clothing	6	2	0.001945525292	0.7292697773	2.929835005	5	3
abla	NOUN	2456	874	1582	1148	273	149	161	725	People & Relationships	family	588	88	0.1906614786	298.5144288	5.475142122	4	2
ablacı	ADJ	2	0	2	2	0	0	0	0	People & Relationships	kinship	2	2	0.0006485084306	0.2430899258	2.56185822	6	3
ablak	ADJ	2	1	1	1	0	0	0	1	Personality, Values & Behavior	appearance	2	1	0.0006485084306	0.2430899258	2.56185822	5	2
abluka	NOUN	14	2	12	12	0	0	0	2	Other	other	10	2	0.003242542153	1.70162948	3.260828224	6	3
abo	INTJ	3	3	0	0	0	0	0	3	Emotions & Mental Processes	emotions	3	1	0.0009727626459	0.3646348887	2.686796957	3	2
abone	NOUN	458	274	184	8	3	0	173	274	Work & Economy	financial concepts	213	17	0.06906614786	55.667593	4.746549651	5	3
abonelik	NOUN	6	0	6	1	0	0	5	0	Work & Economy	financial concepts	6	5	0.001945525292	0.7292697773	2.929835005	8	4
Aborjin	PROPN	9	0	9	1	1	0	7	0	Places & Settlements	civilizations	4	4	0.001297016861	1.093904666	3.084736965	7	3
abra	NOUN	49	4	45	42	1	0	2	4	Time, Numbers & Measurement	units of measurement	14	6	0.004539559014	5.955703181	3.78370697	4	2
Abra	PROPN	33	0	33	33	0	0	0	0	Other	other	3	5	0.0009727626459	4.010983775	3.616215882	4	2
abrakadabra	NOUN	5	0	5	5	0	0	0	0	Sound & Communication Phenomena	sounds	1	2	0.0003242542153	0.6077248144	2.862888216	11	5
ABS	PROPN	3	0	3	0	0	0	3	0	Other	other	2	1	0.0006485084306	0.3646348887	2.686796957	3	1
Absolem	PROPN	4	4	0	0	0	0	0	4	Other	other	1	2	0.0003242542153	0.4861798515	2.78370697	7	3
absorbe	NOUN	2	0	2	2	0	0	0	0	Other	other	1	1	0.0003242542153	0.2430899258	2.56185822	7	3
absürt	ADJ	5	4	1	1	0	1	0	3	Home & Domestic Life	out of routine	5	1	0.001621271077	0.6077248144	2.862888216	6	2
abu	INTJ	8	2	6	0	1	0	5	2	Emotions & Mental Processes	emotions	6	1	0.001945525292	0.9723597031	3.038979475	3	2
abuk	ADJ	27	12	15	15	0	0	0	12	Personality, Values & Behavior	behavior	18	3	0.005836575875	3.281713998	3.531894997	4	2
abuk sabuk	ADJ	14	2	12	9	0	0	3	2	Personality, Values & Behavior	behavior	7	2	0.002269779507	1.70162948	3.260828224	9	4
abuk subuk	ADJ	15	10	5	5	0	0	0	10	Personality, Values & Behavior	behavior	12	1	0.003891050584	1.823174443	3.288856948	9	4
abur cubur	NOUN	374	275	99	42	55	62	2	213	Food & Nutrition	food and drinks	86	20	0.02788586252	45.45781612	4.658768233	9	4
abus	ADJ	1	1	0	0	0	0	0	1	Personality, Values & Behavior	behavior	1	1	0.0003242542153	0.1215449629	2.385766961	4	2
Abuzer	PROPN	1	0	1	0	1	0	0	0	Other	other	1	1	0.0003242542153	0.1215449629	2.385766961	6	3
acaba	ADV	4460	2878	1582	1165	94	12	323	2866	Education & Language	grammar	1442	3	0.4675745785	542.0905345	5.734169189	5	3
acar	ADJ	47	2	45	5	7	0	33	2	Personality, Values & Behavior	appearance	33	3	0.01070038911	5.712613256	3.765978203	4	2
acayip	ADJ	483	217	266	257	9	0	0	217	Personality, Values & Behavior	appearance	240	3	0.07782101167	58.70621707	4.769582327	6	3
acayiplik	NOUN	4	0	4	0	4	0	0	0	Personality, Values & Behavior	behavior	2	2	0.0006485084306	0.4861798515	2.78370697	9	4
acele	ADJ	202	144	58	50	6	0	2	144	Personality, Values & Behavior	behavior	170	3	0.0551232166	24.5520825	4.392233003	5	3
acele	ADV	236	29	207	198	7	0	2	29	Personality, Values & Behavior	behavior	135	7	0.04377431907	28.68461124	4.459485311	5	3
acele	NOUN	934	647	287	248	13	0	26	647	Time, Numbers & Measurement	units of measurement	562	21	0.182230869	113.5229953	5.055548576	5	3
aceleci	ADJ	39	12	27	18	7	0	2	12	Emotions & Mental Processes	emotions	33	6	0.01070038911	4.740253553	3.686796957	7	4
acem	NOUN	5	0	5	4	0	0	1	0	Education & Language	spelling	2	1	0.0006485084306	0.6077248144	2.862888216	4	2
Acem	PROPN	1	0	1	1	0	0	0	0	Other	other	1	1	0.0003242542153	0.1215449629	2.385766961	4	2
acemi	ADJ	96	24	72	65	3	0	4	24	Personality, Values & Behavior	behavior	54	18	0.01750972763	11.66831644	4.0715087	5	3
acemice	ADV	5	1	4	4	0	0	0	1	Personality, Values & Behavior	behavior	5	1	0.001621271077	0.6077248144	2.862888216	7	4
acemilik	NOUN	4	1	3	3	0	0	0	1	Personality, Values & Behavior	behavior	4	4	0.001297016861	0.4861798515	2.78370697	8	4
acente	NOUN	2	0	2	1	0	0	1	0	Places & Settlements	places	2	2	0.0006485084306	0.2430899258	2.56185822	6	3
acep	ADV	10	5	5	5	0	0	0	5	Emotions & Mental Processes	intelligence and reasoning	8	1	0.002594033722	1.215449629	3.126129651	4	2
acil	ADJ	870	322	548	91	393	6	64	316	Earth, Geography & Natural Phenomena	disasters	299	9	0.09695201038	105.7441177	5.02475512	4	2
acilen	ADV	138	97	41	36	4	0	1	97	Time, Numbers & Measurement	time	111	2	0.0359922179	16.77320488	4.227751766	6	3
aciliyet	NOUN	1	0	1	0	1	0	0	0	Emotions & Mental Processes	general rules	1	1	0.0003242542153	0.1215449629	2.385766961	8	4
aciz	NOUN	12	4	8	8	0	0	0	4	Other	other	11	3	0.003566796368	1.458539555	3.198680318	4	2
acizlik	NOUN	1	0	1	1	0	0	0	0	Personality, Values & Behavior	personality	1	1	0.0003242542153	0.1215449629	2.385766961	7	3
acun	NOUN	18	7	11	8	1	0	2	7	Other	other	11	5	0.003566796368	2.187809332	3.363490566	4	2
Acun	PROPN	1	1	0	0	0	0	0	1	Other	other	1	1	0.0003242542153	0.1215449629	2.385766961	4	2
acur	NOUN	3	0	3	2	0	0	1	0	Food & Nutrition	vegetables	3	2	0.0009727626459	0.3646348887	2.686796957	4	2
acz	NOUN	1	0	1	1	0	0	0	0	Personality, Values & Behavior	morality	1	1	0.0003242542153	0.1215449629	2.385766961	3	1
acı	ADJ	738	236	502	355	52	5	95	231	Other	other	331	10	0.1073281453	89.70018261	4.953381404	3	2
acı	ADV	63	5	58	58	0	0	0	5	Emotions & Mental Processes	emotions	42	6	0.01361867704	7.657332662	3.890916939	3	2
acı	NOUN	516	161	355	293	29	2	33	159	Other	other	280	68	0.09079118029	62.71720085	4.798227508	3	2
Acıbadem	PROPN	10	8	2	1	0	0	1	8	Other	other	4	2	0.001297016861	1.215449629	3.126129651	8	4
Acıgöl	PROPN	3	0	3	0	1	0	2	0	Other	other	3	1	0.0009727626459	0.3646348887	2.686796957	6	3
acıklı	ADJ	55	26	29	23	2	0	4	26	Emotions & Mental Processes	emotions	45	1	0.01459143969	6.684972959	3.832924992	6	3
acıkmak	VERB	883	540	343	225	72	6	46	534	Food & Nutrition	food and drinks	549	101	0.1780155642	107.3242022	5.03118923	7	3
acıktırmak	VERB	3	1	2	2	0	0	0	1	Food & Nutrition	dishes	2	2	0.0006485084306	0.3646348887	2.686796957	10	4
acılaşmak	VERB	4	0	4	3	0	0	1	0	Food & Nutrition	food and drinks	3	3	0.0009727626459	0.4861798515	2.78370697	9	4
acılı	ADJ	86	76	10	6	1	0	3	76	Food & Nutrition	food and drinks	65	2	0.02107652399	10.45286681	4.024256218	5	3
acılık	NOUN	1	0	1	0	0	0	1	0	Food & Nutrition	food and drinks	1	1	0.0003242542153	0.1215449629	2.385766961	6	3
acıma	NOUN	20	13	7	2	4	0	1	13	Emotions & Mental Processes	emotions	18	3	0.005836575875	2.430899258	3.40695626	5	3
acımak	VERB	618	263	355	309	30	7	16	256	Emotions & Mental Processes	emotions	345	111	0.1118677043	75.11478706	4.876427614	6	3
acımasız	ADJ	83	35	48	45	1	0	2	35	Personality, Values & Behavior	bullying	63	7	0.02042801556	10.08823192	4.009016251	8	4
acımasızca	ADV	23	5	18	17	0	0	1	5	Violence & Conflict	violence	22	1	0.007133592737	2.795534146	3.464948207	10	5
acımasızlık	NOUN	1	0	1	1	0	0	0	0	Violence & Conflict	violence	1	1	0.0003242542153	0.1215449629	2.385766961	11	5
acınası	ADJ	13	9	4	4	0	0	0	9	Emotions & Mental Processes	emotions	11	1	0.003566796368	1.580084518	3.230865001	7	4
acındırmak	VERB	3	0	3	1	2	0	0	0	Emotions & Mental Processes	emotions	3	3	0.0009727626459	0.3646348887	2.686796957	10	4
acınmak	VERB	1	0	1	1	0	0	0	0	Emotions & Mental Processes	emotions	1	1	0.0003242542153	0.1215449629	2.385766961	7	3
acısız	ADJ	10	8	2	1	0	0	1	8	Food & Nutrition	food and drinks	9	1	0.002918287938	1.215449629	3.126129651	6	3
acıtmak	VERB	106	48	58	45	3	1	10	47	Other	other	84	43	0.02723735409	12.88376607	4.114120743	7	3
ad	NOUN	13380	2598	10782	2296	2752	203	5734	2395	Other	other	1524	136	0.4941634241	1626.271603	6.211225536	2	1
ada	NOUN	2045	548	1497	494	81	3	922	545	Earth, Geography & Natural Phenomena	geography	447	117	0.1449416342	248.5594491	5.395642595	3	2
Ada	PROPN	45	9	36	4	4	0	28	9	Other	other	33	11	0.01070038911	5.46952333	3.747494797	3	2
adacık	NOUN	37	5	32	7	2	0	23	5	Earth, Geography & Natural Phenomena	geography	21	17	0.006809338521	4.497163627	3.664520562	6	3
adak	NOUN	24	5	19	9	2	0	8	5	History, Politics & Religion	religion	14	7	0.004539559014	2.917079109	3.482676974	4	2
Adalar	PROPN	4	0	4	2	0	0	2	0	Other	other	3	2	0.0009727626459	0.4861798515	2.78370697	6	3
adale	NOUN	4	0	4	4	0	0	0	0	Health & Medicine	body	3	3	0.0009727626459	0.4861798515	2.78370697	5	3
adaleli	ADJ	1	0	1	0	1	0	0	0	Personality, Values & Behavior	appearance	1	1	0.0003242542153	0.1215449629	2.385766961	7	4
adalet	NOUN	399	86	313	114	189	30	10	56	Personality, Values & Behavior	honesty	129	28	0.04182879377	48.49644019	4.686796957	6	3
adaletli	ADJ	12	1	11	5	6	0	0	1	Personality, Values & Behavior	morality	11	2	0.003566796368	1.458539555	3.198680318	8	4
adaletsiz	ADJ	4	1	3	2	1	0	0	1	Personality, Values & Behavior	ethical values	4	1	0.001297016861	0.4861798515	2.78370697	9	4
adaletsizlik	NOUN	6	0	6	5	1	0	0	0	Personality, Values & Behavior	ethical values	4	5	0.001297016861	0.7292697773	2.929835005	12	5
adalı	ADJ	4	1	3	1	0	0	2	1	Earth, Geography & Natural Phenomena	landforms	4	1	0.001297016861	0.4861798515	2.78370697	5	3
adalı	NOUN	1	0	1	0	1	0	0	0	Earth, Geography & Natural Phenomena	geographical features	1	1	0.0003242542153	0.1215449629	2.385766961	5	3
adam	NOUN	8127	3848	4279	3819	235	28	225	3820	Other	other	1014	106	0.3287937743	987.7959134	5.99472066	4	2
adamak	VERB	67	25	42	22	7	1	13	24	Personality, Values & Behavior	behavior	57	24	0.01848249027	8.143512513	3.917245878	6	3
adamakıllı	ADJ	8	2	6	6	0	0	0	2	Personality, Values & Behavior	behavior	8	1	0.002594033722	0.9723597031	3.038979475	10	5
adamcağız	NOUN	58	19	39	33	5	0	1	19	Other	other	41	5	0.01329442283	7.049607847	3.855588977	9	4
Adana	PROPN	284	129	155	31	44	2	80	127	Other	other	170	25	0.0551232166	34.51876946	4.539581825	5	3
adanmak	VERB	2	2	0	0	0	0	0	2	Personality, Values & Behavior	loyalty	2	1	0.0006485084306	0.2430899258	2.56185822	7	3
adap	NOUN	23	1	22	20	2	0	0	1	Personality, Values & Behavior	morality	9	6	0.002918287938	2.795534146	3.464948207	4	2
Adapazarı	PROPN	8	0	8	4	4	0	0	0	Other	other	2	3	0.0006485084306	0.9723597031	3.038979475	9	5
adaptasyon	NOUN	3	0	3	3	0	0	0	0	Other	other	2	1	0.0006485084306	0.3646348887	2.686796957	10	4
adapte	ADJ	3	1	2	2	0	0	0	1	Personality, Values & Behavior	behavior	3	1	0.0009727626459	0.3646348887	2.686796957	6	3
adaptör	NOUN	6	2	4	0	2	0	2	2	Science & Technology	computer	6	3	0.001945525292	0.7292697773	2.929835005	7	3
aday	NOUN	525	137	388	225	30	0	133	137	Other	other	192	43	0.06225680934	63.81110551	4.80572271	4	2
adaş	NOUN	40	1	39	38	0	0	1	1	People & Relationships	kinship	10	14	0.003242542153	4.861798515	3.697520822	4	2
addetmek	VERB	1	0	1	1	0	0	0	0	Personality, Values & Behavior	behavior	1	1	0.0003242542153	0.1215449629	2.385766961	8	3
adem	NOUN	28	6	22	22	0	0	0	6	History, Politics & Religion	religion	9	4	0.002918287938	3.403258961	3.547134963	4	2
ademoğlu	NOUN	2	1	1	1	0	0	0	1	Other	other	2	2	0.0006485084306	0.2430899258	2.56185822	8	4
adenozin	NOUN	4	0	4	0	0	0	4	0	Health & Medicine	body	2	2	0.0006485084306	0.4861798515	2.78370697	8	4
adet	NOUN	218	58	160	15	131	0	14	58	Time, Numbers & Measurement	numbers	98	17	0.0317769131	26.49680191	4.42518108	4	2
adezyon kuvveti	NOUN	8	0	8	0	0	0	8	0	Education & Language	terms	1	1	0.0003242542153	0.9723597031	3.038979475	14	6
adi	ADJ	3	2	1	0	1	0	0	2	Other	other	3	1	0.0009727626459	0.3646348887	2.686796957	3	2
Adidas	PROPN	1	1	0	0	0	1	0	0	Other	other	1	1	0.0003242542153	0.1215449629	2.385766961	6	3
adil	ADJ	207	82	125	23	96	1	6	81	Personality, Values & Behavior	honesty	93	4	0.03015564202	25.15980732	4.4028003	4	2
adisyon	NOUN	2	2	0	0	0	0	0	2	Work & Economy	financial concepts	2	1	0.0006485084306	0.2430899258	2.56185822	7	3
adlandırmak	VERB	870	4	866	31	179	0	656	4	Other	other	266	71	0.08625162127	105.7441177	5.02475512	11	4
adlandırılmak	VERB	2	0	2	0	0	0	2	0	Education & Language	grammar	2	2	0.0006485084306	0.2430899258	2.56185822	13	5
adlanmak	VERB	6	0	6	0	6	0	0	0	Education & Language	grammar	6	5	0.001945525292	0.7292697773	2.929835005	8	3
adli	ADJ	8	1	7	1	0	0	6	1	Other	other	6	1	0.001945525292	0.9723597031	3.038979475	4	2
adliye	NOUN	3	1	2	1	1	0	0	1	Places & Settlements	places	3	2	0.0009727626459	0.3646348887	2.686796957	6	3
adlı	ADJ	14	9	5	1	4	0	0	9	Other	other	13	4	0.004215304799	1.70162948	3.260828224	4	2
Adnan	PROPN	12	6	6	1	5	2	0	4	Other	other	9	5	0.002918287938	1.458539555	3.198680318	5	2
adrenalin	NOUN	36	5	31	5	0	0	26	5	Health & Medicine	body	16	4	0.005188067445	4.375618664	3.652938689	9	4
adres	NOUN	1123	333	790	117	249	3	424	330	Places & Settlements	city	405	54	0.1313229572	136.4949933	5.135503277	5	2
Adriyatik	PROPN	12	0	12	6	3	0	3	0	Other	other	9	4	0.002918287938	1.458539555	3.198680318	9	4
Adıgüzel	PROPN	3	0	3	0	0	0	3	0	Other	other	3	1	0.0009727626459	0.3646348887	2.686796957	8	4
adıl	ADJ	5	0	5	5	0	0	0	0	Education & Language	grammar	4	2	0.001297016861	0.6077248144	2.862888216	4	2
adım	NOUN	3446	985	2461	1222	801	14	438	971	Other	other	927	81	0.3005836576	418.8439421	5.622178249	4	2
adımlamak	VERB	8	2	6	6	0	0	0	2	Other	other	8	6	0.002594033722	0.9723597031	3.038979475	9	4
adımsayar	NOUN	1	0	1	0	1	0	0	0	Sports, Games & Recreation	sports	1	1	0.0003242542153	0.1215449629	2.385766961	9	4
Adıvar	PROPN	4	0	4	4	0	0	0	0	Other	other	1	3	0.0003242542153	0.4861798515	2.78370697	6	3
aerobik	NOUN	5	0	5	0	0	0	5	0	Sports, Games & Recreation	sports	3	1	0.0009727626459	0.6077248144	2.862888216	7	4
aerodinamik	ADJ	17	7	10	4	0	0	6	7	Science & Technology	science	12	1	0.003891050584	2.066264369	3.34000947	11	6
aerodinamik	NOUN	4	2	2	1	0	0	1	2	Science & Technology	science	4	1	0.001297016861	0.4861798515	2.78370697	11	6
aeroponik	ADJ	3	0	3	3	0	0	0	0	Nature & Living Things	plants	1	2	0.0003242542153	0.3646348887	2.686796957	9	5
af	NOUN	230	29	201	52	33	0	116	29	Personality, Values & Behavior	forgiveness	118	25	0.03826199741	27.95534146	4.448348945	2	1
afacan	ADJ	8	2	6	4	2	0	0	2	Personality, Values & Behavior	personality	7	3	0.002269779507	0.9723597031	3.038979475	6	3
afacan	NOUN	98	46	52	43	2	0	7	46	Personality, Values & Behavior	appearance	63	14	0.02042801556	11.91140636	4.08037216	6	3
afacanlık	NOUN	3	0	3	1	0	0	2	0	Personality, Values & Behavior	temperament	2	2	0.0006485084306	0.3646348887	2.686796957	9	4
afak	NOUN	5	0	5	2	3	0	0	0	Space, Shapes & Properties	space	4	4	0.001297016861	0.6077248144	2.862888216	4	2
afakan	NOUN	9	9	0	0	0	0	0	9	Emotions & Mental Processes	emotions	7	2	0.002269779507	1.093904666	3.084736965	6	3
afal	ADJ	1	0	1	0	0	0	1	0	Emotions & Mental Processes	emotions	1	1	0.0003242542153	0.1215449629	2.385766961	4	2
afallamak	VERB	39	1	38	38	0	0	0	1	Emotions & Mental Processes	emotions	30	12	0.009727626459	4.740253553	3.686796957	9	4
aferin	INTJ	20	15	5	5	0	0	0	15	Personality, Values & Behavior	behavior	19	6	0.006160830091	2.430899258	3.40695626	6	3
aferin	NOUN	1297	1023	274	230	32	6	12	1017	Sound & Communication Phenomena	sounds	654	6	0.2120622568	157.6438169	5.198011658	6	3
afet	NOUN	412	9	403	16	351	2	36	7	Earth, Geography & Natural Phenomena	disasters	69	27	0.02237354086	50.07652471	4.700687017	4	2
afetzede	NOUN	2	0	2	0	2	0	0	0	Earth, Geography & Natural Phenomena	disasters	1	1	0.0003242542153	0.2430899258	2.56185822	8	4
Affan	PROPN	3	0	3	1	0	0	2	0	Other	other	3	1	0.0009727626459	0.3646348887	2.686796957	5	2
affedersin	INTJ	72	71	1	1	0	0	0	71	Personality, Values & Behavior	behavior	56	4	0.01815823606	8.751237328	3.948059825	10	4
affedersiniz	INTJ	24	22	2	2	0	0	0	22	Personality, Values & Behavior	behavior	20	1	0.006485084306	2.917079109	3.482676974	12	5
affetmek	VERB	1609	1293	316	291	22	0	3	1293	Personality, Values & Behavior	forgiveness	508	134	0.1647211414	195.5658453	5.291562841	8	3
affettirmek	VERB	4	1	3	3	0	0	0	1	Personality, Values & Behavior	forgiveness	3	3	0.0009727626459	0.4861798515	2.78370697	11	4
affolmak	VERB	2	1	1	0	0	0	1	1	Personality, Values & Behavior	forgiveness	2	1	0.0006485084306	0.2430899258	2.56185822	8	3
afi	NOUN	2	1	1	0	0	0	1	1	Other	other	2	2	0.0006485084306	0.2430899258	2.56185822	3	2
afif	ADJ	1	0	1	1	0	0	0	0	Personality, Values & Behavior	morality	1	1	0.0003242542153	0.1215449629	2.385766961	4	2
Afife	PROPN	2	0	2	0	0	0	2	0	Other	other	1	1	0.0003242542153	0.2430899258	2.56185822	5	3
afiyet	NOUN	293	209	84	49	18	0	17	209	Food & Nutrition	dishes	218	5	0.07068741894	35.61267413	4.553084296	6	3
afiyetle	ADV	112	21	91	46	22	0	23	21	Personality, Values & Behavior	behavior	88	2	0.02853437095	13.61303584	4.137815409	8	4
afiş	NOUN	403	52	351	72	227	0	52	52	Other	other	99	42	0.03210116732	48.98262004	4.69111833	4	2
aforizma	NOUN	1	1	0	0	0	0	0	1	Education & Language	idioms	1	1	0.0003242542153	0.1215449629	2.385766961	8	4
aforoz	NOUN	5	0	5	5	0	0	0	0	History, Politics & Religion	religion	2	2	0.0006485084306	0.6077248144	2.862888216	6	3
afra	NOUN	12	0	12	0	0	0	12	0	People & Relationships	lineage	7	1	0.002269779507	1.458539555	3.198680318	4	2
Afra	PROPN	1	0	1	1	0	0	0	0	Other	other	1	1	0.0003242542153	0.1215449629	2.385766961	4	2
Afrika	PROPN	837	109	728	149	29	13	550	96	Places & Settlements	countries	267	33	0.08657587549	101.7331339	5.007980984	6	3
aft	NOUN	4	2	2	1	0	0	1	2	Health & Medicine	diseases	3	3	0.0009727626459	0.4861798515	2.78370697	3	1
Afyon	PROPN	74	19	55	34	5	2	16	17	Other	other	45	15	0.01459143969	8.994327253	3.959798229	5	2
Afşin	PROPN	4	0	4	2	0	0	2	0	Other	other	3	2	0.0009727626459	0.4861798515	2.78370697	5	2
Ag	NOUN	53	3	50	10	6	0	34	3	Science & Technology	chemical elements	30	9	0.009727626459	6.441883033	3.817130725	2	1
agami	NOUN	1	0	1	0	0	0	1	0	Nature & Living Things	animals	1	1	0.0003242542153	0.1215449629	2.385766961	5	3
aganta	NOUN	1	0	1	0	0	0	1	0	Earth, Geography & Natural Phenomena	sea	1	1	0.0003242542153	0.1215449629	2.385766961	6	3
Agop	PROPN	2	0	2	1	0	0	1	0	Other	other	2	1	0.0006485084306	0.2430899258	2.56185822	4	2
agora	NOUN	11	1	10	0	0	0	10	1	Places & Settlements	city	5	6	0.001621271077	1.336994592	3.163918211	5	3
agrega	NOUN	5	0	5	0	0	0	5	0	Other	other	1	2	0.0003242542153	0.6077248144	2.862888216	6	3
agresif	ADJ	16	15	1	1	0	0	0	15	Personality, Values & Behavior	behavior	14	2	0.004539559014	1.944719406	3.315185887	7	3
agu	NOUN	9	8	1	1	0	0	0	8	Sound & Communication Phenomena	sounds	7	2	0.002269779507	1.093904666	3.084736965	3	2
agucuk	NOUN	2	2	0	0	0	0	0	2	Sports, Games & Recreation	children's games	2	1	0.0006485084306	0.2430899258	2.56185822	6	3
agâh	ADJ	5	0	5	5	0	0	0	0	Emotions & Mental Processes	intelligence and reasoning	1	2	0.0003242542153	0.6077248144	2.862888216	4	1
agâh	NOUN	43	0	43	43	0	0	0	0	Other	other	1	2	0.0003242542153	5.226433404	3.728189642	4	1
Agâh	PROPN	31	0	31	31	0	0	0	0	Other	other	1	6	0.0003242542153	3.767893849	3.589886944	4	1
ah	INTJ	975	610	365	355	6	0	4	610	Sound & Communication Phenomena	sounds	500	11	0.1621271077	118.5063388	5.074186783	2	1
ah	NOUN	2015	1393	622	509	42	0	71	1393	Sound & Communication Phenomena	sounds	748	22	0.242542153	244.9131002	5.389227493	2	1
aha	INTJ	220	172	48	43	3	0	2	172	Sound & Communication Phenomena	sounds	167	5	0.05415045396	26.73989183	4.429129239	3	2
ahali	NOUN	85	10	75	72	3	0	0	10	Other	other	47	13	0.01523994812	10.33132185	4.019235417	5	3
aharlamak	VERB	2	0	2	2	0	0	0	0	Arts, Media & Entertainment	handicrafts	1	2	0.0003242542153	0.2430899258	2.56185822	9	4
